Team,Seed,Did not win last year's championship,,Top 20 Off. and Top 45 Def.,,Past Quarterfinals,Away Win % > 50,Not in the red TOV ,Offense < 36 Spots,Shoot > 33 % from 3 ,,Score > 73 PPG,On or above 50th per TOV % ,,Unranked -> Top 10 ,No scoring margin under 10,,Scoring margin above 15 ,,FG % > 45 ,From Power Conference,,On or above 50th per 3PT %,,Ranked no worse than 12 ,,Not from Big East (expect for Villanova),,Not from Big Ten,Sum (Out of 18),Team
Houston,1,TRUE,,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,8,Houston
Texas,1,TRUE,,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,8,Texas
Gonzaga,1,TRUE,,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,,TRUE,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,7,Gonzaga
North Carolina,1,TRUE,,FALSE,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,8,North Carolina
Kansas,2,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,7,Kansas
Indiana,2,TRUE,,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,TRUE,,FALSE,8,Indiana
Virginia,2,TRUE,,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,9,Virginia
Baylor,2,TRUE,,TRUE,,FALSE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,,FALSE,FALSE,,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,9,Baylor
Duke,3,TRUE,,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,7,Duke
Arkansas,3,TRUE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,TRUE,FALSE,,,FALSE,,FALSE,,TRUE,TRUE,,FALSE,,FALSE,,TRUE,,TRUE,7,Arkansas
