NUMBER,TEAM,CONFERENCE,SEED,CONF. TOURNEY,AP POLL RANK,WIN %,HOME,AWAY,NEUTRAL,K ADJ. EFFICIENCY,K ADJ. OFFENSE,K ADJ. DEFENSE,K ADJ. TEMPO,B ADJ. EFFICIENCY,B ADJ. OFFENSE,B ADJ. DEFENSE,B ADJ. TEMPO,2PT %,3PT %,EFG %,FT RATE,3PT RATE,AST %,TOV %,BLKED %,O REB %,PPP O,2PT % D,3PT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,TOV % D,BLK %,D REB %,PPP D,FT %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,TURNOVER %,BLOCKED %,OFFENSIVE REBOUND %,POINTS PER POSSESSION OFFENSE,2PT % DEFENSE,3PT % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFNESE,3PT RATE DEFENSE,OP ASSIST %,TURNOVER % DEFENSE,BLOCK %,DEFENSIVE REBOUND %,POINTS PER POSSESSION DEFENSE,FREE THROW %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,TEAM
1,Houston,AAC,1,N/A,2,100,100,100,100,25.63,109.628,83.998,100,25.63,109.628,83.998,100,54.5,30.8,51.5,28.8,36,46.4,17.5,9.1,38.3,1.127,37.3,20,33.9,32.9,47.5,44.6,24.6,18.1,61.7,0.719,70.2,14.079,0.955,100,100,1,1,2,1,1,36,1,1,57,251,107,228,215,26,97,188,11,35,1,2,1,207,343,71,26,4,353,1,179,234,1,,,Houston
2,Tennessee,,,,,,,,,,,,,23.024,108.274,85.25,,46,32.3,47.1,38.2,46.3,67.4,21.8,12.3,36.3,1.021,44,26.2,42,33.1,40.9,47.8,27.8,12.1,63.7,0.788,76.7,22.345,0.94,,,,,,,8,49,2,,281,214,266,53,34,8,297,310,30,153,46,22,16,212,266,118,8,72,333,7,45,91,2,,,Tennessee
3,Texas,,,,,,,,,,,,,23.754,112.248,88.494,,64.1,30.1,56.4,33.6,40.5,50.3,18.2,7.2,33,1.151,39.2,25.9,39.1,31,31.4,43.2,28.8,13.4,67,0.739,66.7,12.361,0.939,,,,,,,4,14,9,,4,270,26,137,110,188,136,91,74,22,5,18,7,176,45,50,5,37,288,2,263,266,3,,,Texas
4,Gonzaga,,,,,,,,,,,,,24.487,117.975,93.488,,57.6,40.7,58.8,29.2,34.4,50.5,19.5,5.4,29.3,1.133,50.4,34.7,51,29.6,39,54.4,17.2,9,70.7,1.038,74,37.858,0.936,,,,,,,2,2,46,,23,18,9,217,252,180,189,28,166,30,197,218,221,155,215,253,252,156,195,224,89,11,4,,,Gonzaga
5,Arizona,,,,,,,,,,,,,24.261,118.285,94.024,,67.4,45,67.4,44,31.7,62.1,21.7,5,28.8,1.219,42.9,36.4,47.3,33.1,37.3,42.1,14.6,9.1,71.2,0.984,73.4,23.528,0.933,,,,,,,3,1,50,,1,3,1,18,305,21,290,23,177,5,30,263,105,212,167,43,343,153,186,133,105,79,5,,,Arizona
6,UCLA,,,,,,,,,,,,,23.319,114.983,91.664,,55.3,39.1,56.3,25.1,29.8,55.1,14.3,4.8,31.9,1.169,50.4,29.6,47.9,23.9,42.6,52.7,24.1,11.4,68.1,0.899,70.5,19.54,0.931,,,,,,,7,5,31,,43,25,27,301,329,85,15,16,104,14,197,87,125,53,294,217,31,85,257,46,169,138,6,,,UCLA
7,Purdue,,,,,,,,,,,,,23.381,116.143,92.762,,54.2,34,52.9,36.8,41.2,61.1,17,7,38.1,1.156,46.5,23.1,41.8,17.4,39.4,48.9,16.3,11.9,61.9,0.895,78.6,32.349,0.93,,,,,,,6,4,37,,64,147,83,69,94,28,76,78,12,21,103,5,15,8,230,146,292,78,350,43,23,21,7,,,Purdue
8,Baylor,,,,,,,,,,,,,23.607,117.29,93.683,,62.9,38.5,60.3,37,50.1,68.8,16,5.9,37.6,1.269,46.5,37.6,50,42.1,35,66.7,25.8,10.4,62.4,0.942,70.3,20.677,0.93,,,,,,,5,3,47,,6,36,3,64,9,5,50,43,18,1,103,297,184,323,107,355,18,119,346,82,176,121,7,,,Baylor
9,Connecticut,,,,,,,,,,,,,20.86,112.246,91.386,,57.7,37.1,56.8,39.8,43.6,65.9,19.4,7.2,38.1,1.184,42.7,27.2,42.1,39.9,27.5,40.3,24,14.7,61.9,0.817,73.8,16.515,0.914,,,,,,,9,15,25,,22,68,21,35,65,10,182,91,12,10,27,39,17,303,13,19,32,23,350,8,94,189,9,,,Connecticut
10,Kentucky,,,,,,,,,,,,,20.838,112.413,91.575,,51.9,38.3,53.8,31.5,35,62.1,15.6,3.8,34.6,1.151,42.5,29.8,43.2,27.7,34.2,43.8,20,16.7,65.4,0.898,70.1,21.727,0.914,,,,,,,10,13,28,,114,39,63,178,238,21,36,4,47,22,25,94,27,116,86,59,131,11,315,45,181,100,9,,,Kentucky
11,Indiana,,,,,,,,,,,,,20.547,111.457,90.91,,63.3,38.3,61.6,35.8,29.9,57.5,15.8,6.4,32.8,1.236,41.8,29.4,42.7,23,40.2,46.6,23.2,16.4,67.2,0.825,71.9,11.09,0.912,,,,,,,11,22,21,,5,39,2,91,327,57,41,54,79,2,16,79,22,43,252,97,41,12,284,13,140,293,11,,,Indiana
12,Virginia,,,,,,,,,,,,,20.455,112.064,91.609,,53,44.8,58.6,57.1,39.2,71.3,15.8,8.1,32.1,1.229,45.2,34,47.4,21.4,37.6,42.2,22.1,13.3,67.9,0.908,73.6,23.059,0.91,,,,,,,13,16,30,,87,4,12,2,141,1,41,138,97,3,67,199,106,25,173,44,56,38,263,52,99,85,12,,,Virginia
13,West Virginia,,,,,,,,,,,,,20.311,111.773,91.462,,56,36,55.4,36.7,33.1,47.8,18.1,7.6,34.1,1.138,44,29.9,44.3,44.8,37.8,48.6,26.2,8.4,65.9,0.878,72.8,18.295,0.909,,,,,,,14,18,26,,39,89,38,73,280,238,133,112,55,28,46,96,42,340,182,137,15,179,308,31,121,161,13,,,West Virginia
14,Creighton,,,,,,,,,,,,,20.487,113.641,93.154,,60.1,38.2,58.9,28.2,40.6,53.7,14.5,5.9,29.5,1.198,46.6,37.6,49.4,13.1,28.7,48.4,16.3,8.7,70.5,0.959,70.8,24.601,0.908,,,,,,,12,11,41,,12,41,7,240,109,117,17,43,160,7,108,297,164,1,19,135,292,167,201,103,166,63,14,,,Creighton
15,Duke,,,,,,,,,,,,,19.84,111.025,91.185,,49,29.1,47,29,36.6,51.5,17.5,10.6,42.3,1.09,46,27.5,44.3,20.4,36.7,53.2,20.6,10.9,57.7,0.878,74.6,21.463,0.906,,,,,,,15,27,22,,191,301,270,223,201,159,97,257,1,61,84,44,42,21,145,228,105,99,363,31,82,105,15,,,Duke
16,Arkansas,,,,,,,,,,,,,18.847,105.778,86.931,,54.5,29.9,51.6,35.7,29.4,50.6,18.6,3.9,27.8,1.022,47.2,25.5,44.5,43.4,31,40.6,25.9,10.6,72.2,0.833,69.2,21.073,0.905,,,,,,,20,78,4,,57,276,102,96,333,177,154,5,207,151,120,13,48,331,41,22,17,110,155,16,201,111,16,,,Arkansas
17,Alabama,,,,,,,,,,,,,19.451,109.559,90.108,,48.8,35.6,50.9,38.2,45.4,55.1,22.4,12.4,41,1.091,38.5,29.3,40.3,31.7,32.3,46.1,16.3,14.6,59,0.893,70.9,26.871,0.904,,,,,,,16,37,15,,196,100,130,53,43,85,309,311,2,60,3,77,9,194,61,89,292,26,362,40,162,44,17,,,Alabama
18,Saint Mary's,,,,,,,,,,,,,18.832,106.129,87.297,,49.4,37.7,51.9,28.7,35.2,47.9,16.2,10.4,32.5,1.079,39.8,33.3,43.3,24.9,34.6,35.7,21.3,10.7,67.5,0.832,63.9,12.189,0.904,,,,,,,21,75,5,,178,52,96,230,232,234,55,251,87,67,7,177,29,69,103,7,79,105,275,15,313,267,17,,,Saint Mary's
19,Illinois,,,,,,,,,,,,,19.411,110.694,91.283,,62.1,37.7,59.5,32.6,46.1,53.8,22.3,5.1,36.2,1.131,42.1,28.4,42.3,29.1,31.1,48.1,25.6,12.8,63.8,0.821,65.3,19.59,0.902,,,,,,,17,29,24,,7,52,5,157,36,109,305,25,32,34,20,58,18,147,43,124,22,51,332,11,293,136,19,,,Illinois
20,San Diego St.,,,,,,,,,,,,,19.073,108.994,89.921,,52.3,31.5,50.7,41,31.4,45.7,15.3,9.1,22.9,1.05,53.4,28.8,49.7,35.6,35.9,38.1,22,6.7,77.1,0.978,75.2,35.327,0.901,,,,,,,19,43,13,,104,238,135,32,308,275,29,188,314,104,274,64,175,254,129,10,60,253,48,125,67,14,20,,,San Diego St.
21,Memphis,,,,,,,,,,,,,18.358,108.464,90.106,,50.7,31.9,49.7,31.7,34.6,57.9,19.6,12,31.1,1.017,43.2,32.9,46.1,33.8,46.8,60.6,22.8,15.3,68.9,0.927,71.6,30.026,0.894,,,,,,,23,47,14,,142,226,170,175,246,50,198,303,125,160,36,166,82,226,340,332,46,19,237,67,144,27,21,,,Memphis
22,North Carolina,,,,,,,,,,,,,19.147,114.508,95.361,,54.4,30.8,51.6,43.2,33.6,42.4,16,5.7,30.9,1.104,44.7,35.6,48,23.7,37.8,48.7,17,12.4,69.1,1.005,75,20.939,0.891,,,,,,,18,6,65,,59,251,102,22,271,323,50,34,132,49,59,238,127,50,182,140,260,64,232,176,72,116,22,,,North Carolina
23,Auburn,,,,,,,,,,,,,17.317,104.16,86.843,,50,26.6,46.3,38.7,37,55.8,20,8.4,38.6,1.01,41.8,23.7,39.8,27.6,32.4,42.7,21,20.6,61.4,0.819,65.8,11.921,0.89,,,,,,,27,107,3,,159,337,288,45,192,79,219,163,9,171,16,9,8,114,63,46,92,1,354,9,283,269,23,,,Auburn
24,Maryland,,,,,,,,,,,,,18.678,112.454,93.776,,61.2,30.8,55.6,37,37.3,41.6,16.7,4.9,38.1,1.203,45.3,26.3,43.4,26.3,32.6,40.9,20.1,11.4,61.9,0.893,75,12.639,0.89,,,,,,,22,12,48,,11,251,35,64,181,329,68,18,12,6,68,23,30,90,65,26,124,85,350,40,72,260,23,,,Maryland
25,Texas Tech,,,,,,,,,,,,,17.517,106.325,88.808,,54.4,33,52.8,35.5,33,57.9,21.7,9.8,31.9,1.055,43.8,29.4,43.9,25.2,41.2,48,22.2,12.9,68.1,0.878,73.7,19.877,0.888,,,,,,,25,72,11,,59,181,84,99,282,50,290,223,104,98,43,79,38,74,273,121,53,49,257,31,98,131,25,,,Texas Tech
26,Kansas,,,,,,,,,,,,,17.45,108.226,90.776,,50.5,33.3,50.3,25.8,33,61.5,17.5,6.4,30.3,1.027,43,30.6,44.1,26.6,39.3,45.5,19.9,12.5,69.7,0.925,62.6,27.713,0.883,,,,,,,26,51,19,,149,169,146,287,282,25,97,54,140,142,32,110,41,95,227,80,138,62,221,63,323,38,26,,,Kansas
