SEED,TEAM,ROUND,K ADJ. OFFENSE,B ADJ. OFFENSE,2PT %,3PT %,FT %,EFG %,FT RATE,3PT RATE,AST %,O REBOUND %,PPP O,BLOCKED %,TOV %,K ADJ. DEFENSE,B ADJ. DEFENSE,2PT % D,3PT % D,FT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,D REBOUND %,PPP D,BLOCK %,TOV % D,K ADJ. EFFICIENCY,B ADJ. EFFICIENCY,K ADJ. TEMPO,B ADJ. TEMPO,BARTHAG,ELITE SOS,WAB,WIN %,HOME WIN %,AWAY WIN %,NEUTRAL WIN %,SCORING MARGIN,OP O REB %,OP D REB %,TEAM
1,Kansas,N / A,119.4,120.1,54.5,35.5,72.4,54.1,32.8,33.8,53.90,33.4,1.119,7.8,17.8,93.9,92.9,47.9,30.1,70.7,46.9,27.8,34.2,47.5,71.1,0.97,10.50,18.4,25.5,27.2,69.1,70.1,0.95,36.30,10.4,82.35,100,100,100,100,28.9,66.6,Kansas
1,Arizona,N / A,119.6,117.4,57.5,35.4,73.8,55.9,35.1,35.7,65.40,34.5,1.155,7,18,92.4,91.8,41.9,32.7,67,44.4,22.8,34.5,46.8,71.7,0.922,13.40,17.7,27.2,25.6,72.2,73.4,0.944,24.98,8.8,91.18,100,100,100,100,28.3,65.5,Arizona
1,Gonzaga,N / A,121.8,120.2,60.9,37.9,73.1,59.4,29.7,35.4,55.00,29,1.19,6.6,15.9,88.8,88.4,41.6,30.7,69.5,43.2,22.2,33.9,40.6,77,0.885,13.40,17,33.0,31.8,72.5,73.8,0.972,24.98,6.7,89.66,100,100,100,100,23,71,Gonzaga
1,Baylor,N / A,117.9,116.6,53.5,34.6,69.8,52.9,28.5,37.7,56.10,36.3,1.112,7.3,18.2,91.6,90.3,49.5,29.9,70.1,47.8,26.9,35.9,55.5,71.6,0.925,9.60,22.9,26.3,26.3,67.2,68.6,0.95,35.39,8.9,81.25,100,100,100,100,28.4,63.7,Baylor
2,Duke,N / A,119.4,119.9,55.8,36.8,72.9,55.6,28.6,36.6,56.60,31.9,1.169,8.1,14.9,95.7,94.1,46.9,31.4,67.2,47,18.9,33.8,51.8,71.5,0.979,13.10,16.1,23.7,25.8,67.4,68.7,0.942,28.31,7.2,82.35,100,100,100,100,28.5,68.1,Duke
2,Villanova,N / A,118.0,117.7,50.3,35.9,82.3,52,30.5,46,49.00,30.9,1.127,10.9,15.5,93.8,93.2,48.2,31,74.5,47.5,25.1,43,50,72,0.979,7.10,18.8,24.1,24.5,62.6,63.6,0.936,32.17,7.4,78.79,100,100,100,100,28,69.1,Villanova
2,Auburn,N / A,113.6,112.3,51.9,32.0,73.3,50.3,31.6,39.9,52.00,33.2,1.085,10.1,16.7,89.1,89.4,42.6,31.2,72.9,44.1,34.8,36.3,48.8,70.7,0.924,20.90,20.7,24.5,22.9,70.0,71,0.932,27.61,7.4,84.38,100,100,100,100,29.3,66.8,Auburn
2,Kentucky,N / A,120.2,118.6,53.7,34.9,73,53.3,27.2,28.1,53.00,37.8,1.142,6.4,16.6,93.6,93.5,47.2,30.3,71.5,46.5,25.1,36,46.2,75.1,0.948,11.00,17.4,26.6,25.1,67.3,68.7,0.939,32.45,6.9,78.79,100,100,100,100,24.9,62.2,Kentucky
3,Texas Tech,N / A,109.7,109.3,55.1,31.4,69.9,52.4,36.1,34.4,52.30,33.3,1.051,7.2,20.3,85.1,86.4,44.3,31.3,68.3,45.5,32.1,45.6,53.8,73.9,0.884,11.90,23.6,24.6,22.9,66.5,67.4,0.937,35.60,6.5,73.53,100,100,100,100,26.1,66.7,Texas Tech
3,Purdue,N / A,121.3,122.5,55.9,39.1,70.3,57,36.3,39.1,58.90,35.2,1.185,6.7,17.3,99.0,97,49.2,33.5,72,49.6,21.4,41,53.1,76.4,1.022,9.90,14.1,22.3,25.5,65.8,66.8,0.936,30.35,7.1,79.41,100,100,100,100,23.6,64.8,Purdue
