NUMBER,TEAM,CONFERENCE,SEED,CONF. TOURNEY,AP POLL RANK,WIN %,HOME,AWAY,NEUTRAL,K ADJ. EFFICIENCY,K ADJ. OFFENSE,K ADJ. DEFENSE,K ADJ. TEMPO,B ADJ. EFFICIENCY,B ADJ. OFFENSE,B ADJ. DEFENSE,B ADJ. TEMPO,2PT %,3PT %,EFG %,FT RATE,3PT RATE,AST %,TOV %,BLKED %,O REB %,PPP O,2PT % D,3PT % D,EFG % D,FT RATE D,3PT RATE D,OP AST %,TOV % D,BLK %,D REB %,PPP D,FT %,ELITE SOS,BARTHAG,WAB,SCORING MARGIN,TEAM
1,Houston,AAC,1,N/A,2,100,100,100,100,25.63,109.628,83.998,100,25.63,109.628,83.998,100,54.5,30.8,51.5,28.8,36,46.4,17.5,9.1,38.3,1.127,37.3,20,33.9,32.9,47.5,44.6,24.6,18.1,61.7,0.719,70.2,14.079,0.955,100,100,Houston
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tennessee,,,,,,,,,,,,,23.024,108.274,85.25,,46,32.3,47.1,38.2,46.3,67.4,21.8,12.3,36.3,1.021,44,26.2,42,33.1,40.9,47.8,27.8,12.1,63.7,0.788,76.7,22.345,0.94,100,100,Tennessee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Texas,,,,,,,,,,,,,23.754,112.248,88.494,,64.1,30.1,56.4,33.6,40.5,50.3,18.2,7.2,33,1.151,39.2,25.9,39.1,31,31.4,43.2,28.8,13.4,67,0.739,66.7,12.361,0.939,100,100,Texas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gonzaga,,,,,,,,,,,,,24.487,117.975,93.488,,57.6,40.7,58.8,29.2,34.4,50.5,19.5,5.4,29.3,1.133,50.4,34.7,51,29.6,39,54.4,17.2,9,70.7,1.038,74,37.858,0.936,100,100,Gonzaga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Arizona,,,,,,,,,,,,,24.261,118.285,94.024,,67.4,45,67.4,44,31.7,62.1,21.7,5,28.8,1.219,42.9,36.4,47.3,33.1,37.3,42.1,14.6,9.1,71.2,0.984,73.4,23.528,0.933,100,100,Arizona
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UCLA,,,,,,,,,,,,,23.319,114.983,91.664,,55.3,39.1,56.3,25.1,29.8,55.1,14.3,4.8,31.9,1.169,50.4,29.6,47.9,23.9,42.6,52.7,24.1,11.4,68.1,0.899,70.5,19.54,0.931,100,100,UCLA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Purdue,,,,,,,,,,,,,23.381,116.143,92.762,,54.2,34,52.9,36.8,41.2,61.1,17,7,38.1,1.156,46.5,23.1,41.8,17.4,39.4,48.9,16.3,11.9,61.9,0.895,78.6,32.349,0.93,100,100,Purdue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Baylor,,,,,,,,,,,,,23.607,117.29,93.683,,62.9,38.5,60.3,37,50.1,68.8,16,5.9,37.6,1.269,46.5,37.6,50,42.1,35,66.7,25.8,10.4,62.4,0.942,70.3,20.677,0.93,100,100,Baylor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Connecticut,,,,,,,,,,,,,20.86,112.246,91.386,,57.7,37.1,56.8,39.8,43.6,65.9,19.4,7.2,38.1,1.184,42.7,27.2,42.1,39.9,27.5,40.3,24,14.7,61.9,0.817,73.8,16.515,0.914,100,100,Connecticut
